Student Roll No,EffectiveAverageRank,creditSatisfactionRatio
KJ15TAMW,1.04,0.79
KJ15STAY,1.75,0.29
KJ15EWBK,0.58,0.86
KJ15JXSG,0.0,1.0
KJ15MQPT,0.89,0.43
KJ15AXCE,0.8,0.56
KJ15KTLM,1.0,0.82
KJ15JGKH,0.75,0.86
KJ15HVRB,0.75,0.57
KJ15KTPD,0.6,0.88
KJ15LMVB,0.83,0.86
KJ15TGRN,0.69,0.81
KJ15AICJ,0.58,0.98
KJ15NYAL,0.78,0.6
KJ15HVIG,1.38,0.59
KJ15QJYW,0.78,0.54
KJ15KDMK,0.0,1.0
KJ15DTZZ,0.76,0.81
KJ15EWGA,0.58,0.9
KJ15VQWG,0.69,0.86
KJ15VUMR,0.78,0.54
KJ15OFKV,1.06,0.71
KJ15MJFL,0.96,0.71
KJ15QIAK,0.0,1.0
KJ15DKOB,0.67,0.84
KJ15HPGD,0.67,0.53
KJ15RTAM,0.0,1.0
KJ15JJUW,0.0,1.0
KJ15ZFES,1.0,0.57
KJ15NOFI,0.63,0.71
KJ15ZXPJ,0.58,0.65
KJ15OEPE,0.67,0.54
KJ15YYLT,0.78,0.86
KJ15EGCB,0.0,1.0
KJ15MTXM,0.88,0.52
KJ15YFBZ,0.63,0.71
KJ15YMKL,1.0,0.52
KJ15EHER,0.88,0.67
KJ15JAHX,0.67,0.44
KJ15DHYY,1.0,0.43
KJ15WRSI,0.0,1.0
KJ15VWLY,0.88,0.68
KJ15XWXH,0.75,0.71
KJ15TWSB,1.04,0.76
KJ15PPQI,0.75,0.7
KJ15TGKJ,0.68,0.88
KJ15GRNZ,0.0,1.0
KJ15XGJS,0.0,1.0
KJ15EGLM,0.0,1.0
KJ15GJSE,0.6,0.88
KJ15HWWU,0.67,0.79
KJ15WQET,1.0,0.53
KJ15HYZX,0.75,0.71
KJ15ZTDQ,0.0,1.0
KJ15ESNN,0.78,0.59
KJ15CEHG,0.67,0.6
KJ15OBML,0.0,1.0
KJ15OOQN,1.25,0.35
KJ15XOTM,0.81,0.71
KJ16DQOH,0.75,0.67
KJ16UPUS,1.0,0.33
KJ16DGAI,1.0,0.67
KJ16JRMA,0.75,0.67
KJ16OEWJ,0.75,0.67
KJ16OEMM,0.75,0.67
KJ16UYMS,1.0,0.53
KJ16YKEK,0.75,0.67
KJ16GRIC,0.75,0.67
KJ16EXRI,0.75,0.67
KJ16WRWL,0.75,0.67
KJ16UTQJ,1.0,0.53
KJ16BLSO,0.75,0.67
KJ16VMIC,1.0,0.53
KJ16SNPK,0.75,0.67
KJ16XHQX,0.75,0.67
KJ16KVJV,0.67,1.0
KJ16OMZK,0.75,0.67
KJ16OXOM,0.75,0.67
KJ16OKNM,0.75,0.67
KJ16RJAW,0.75,0.67
KJ16YUNI,0.67,0.82
KJ16YQAS,0.89,0.79
KJ16HCTZ,0.75,0.67
KJ16VGRL,0.75,0.67
KJ16YIYE,0.75,0.67
KJ16DENT,0.0,1.0
KJ16ROZO,0.75,0.67
KJ16ZOAP,0.67,1.0
KJ16LZFK,0.75,0.67
KJ16WLSY,0.67,1.0
KJ16AKGZ,0.75,0.67
KJ16GPZM,0.0,1.0
KJ16RMMV,0.75,0.67
KJ16GEWP,0.75,0.67
KJ16SXFV,0.75,0.67
KJ16JXZH,0.75,0.67
KJ16IODE,0.75,0.67
KJ16ZKAC,0.67,1.0
KJ16WYFB,0.75,0.67
KJ16ENIA,0.75,0.67
KJ16MNNS,1.0,0.33
KJ16XQTP,1.0,0.67
KJ16BZRZ,0.75,0.67
KJ16XRLH,0.75,0.67
KJ16THSJ,0.75,0.67
KJ16PNAS,0.75,0.67
KJ16BUDS,0.75,0.67
KJ16BXNB,1.0,0.56
KJ16WOWY,1.0,0.33
KJ16ASJR,0.75,0.67
KJ16CDXG,0.75,0.67
KJ16ROJR,1.0,0.33
KJ16ELAD,0.75,0.67
KJ16QICV,0.67,1.0
KJ16TCOA,1.0,0.53
KJ16TBAK,0.75,0.67
KJ16KTMR,0.75,0.67
KJ16UNVQ,0.67,1.0
KJ16XREN,1.0,0.33
KJ17YZBF,2.0,0.41
KJ17NZNB,3.0,0.41
KJ17ZCGN,1.0,0.41
KJ17FPUW,1.0,0.45
KJ17BQCG,0.75,0.86
KJ17MDMG,0.75,0.86
KJ17XVLB,1.0,0.86
KJ17ZGYD,1.0,0.41
KJ17VYVD,1.0,0.41
KJ17XRFE,0.75,0.86
KJ17DXAX,1.0,0.86
KJ17LAFE,1.0,0.41
KJ17EAYT,3.0,0.41
KJ17CQXN,1.0,0.69
KJ17KJMG,1.0,0.41
KJ17TCOQ,3.0,0.41
KJ17RQBJ,0.75,0.86
KJ17HZDE,1.0,0.41
KJ17SPTL,1.0,0.41
KJ17RDJY,1.0,0.41
KJ17WXVA,0.75,0.82
KJ17ZHUO,0.0,1.0
KJ17JYCX,1.0,0.41
KJ17AKNO,1.0,0.41
KJ17HWLD,2.0,0.41
KJ17LNEW,1.0,0.82
KJ17FLHI,1.0,0.5
KJ17TDGZ,1.0,0.41
KJ17XBHN,1.0,0.41
KJ17FCDV,1.0,0.41
KJ17QEJQ,2.0,0.41
KJ17EHNO,0.0,1.0
KJ17GKKK,0.75,0.95
KJ17AWNX,0.0,1.0
KJ17HYNV,1.0,0.41
KJ17CBEZ,1.0,0.41
KJ17YCVC,1.0,0.41
KJ17JALY,1.0,0.41
KJ17VTJN,0.0,1.0
KJ17LYAY,0.0,1.0
KJ17MKSL,1.0,0.41
KJ17DYGU,1.0,0.41
KJ17CXGY,1.0,0.41
KJ17CYLD,1.0,0.41
KJ17FVJM,0.0,1.0
KJ17WTAI,1.0,0.41
KJ17VQTA,1.0,0.41
KJ17EMAK,1.0,0.41
KJ17XLQF,1.0,0.41
KJ17INNQ,1.0,0.41
KJ17CWIK,1.0,0.75
KJ17ZLPH,1.0,0.41
KJ17BZJW,0.0,1.0
KJ17HNZS,1.5,0.82
KJ17NTQB,1.0,0.41
KJ17ZTHP,1.0,0.41
KJ17SBCA,1.0,0.41
KJ17HNAA,1.5,0.82
VL15NCCC,0.0,1.0
VL15WKUB,0.0,1.0
VL15JECT,0.75,0.93
VL15BCUB,0.81,0.86
VL15NNVC,0.78,0.46
VL15IVWR,0.67,0.84
VL15WQXH,1.0,0.16
VL15YHXT,0.58,0.87
VL15GFDH,0.0,1.0
VL15UTDJ,0.72,0.67
VL15CCZB,1.33,0.38
VL15HQFC,0.64,0.73
VL15TXSW,0.69,0.97
VL15CUKP,0.88,0.52
VL15JQBE,0.0,1.0
VL15DMGX,0.61,0.83
VL15JZRL,0.58,0.83
VL15FFGZ,0.58,0.83
VL15SPXZ,1.0,0.59
VL15IMPC,0.89,0.57
VL15RKZC,0.61,0.86
VL15KUCA,0.0,1.0
VL15BIPK,0.67,0.38
VL15DSSS,0.63,0.57
VL15XYSM,0.0,1.0
VL15TEQK,0.75,0.52
VL15FIFG,0.81,0.52
VL15SUQY,0.68,0.68
VL15OTNH,0.63,0.84
VL15NOKP,0.6,0.8
VL16SNLX,0.67,0.86
VL16RFLH,0.67,0.74
VL16HRLX,0.67,0.86
VL16RAYD,2.0,0.36
VL16EFVF,1.0,0.69
VL16JFCY,1.78,0.83
VL16HHOO,0.67,0.83
VL16QHQM,1.0,0.57
VL16VNCM,1.44,0.91
VL16NSSA,1.0,0.66
VL16ISTA,1.0,0.31
VL16VMZN,0.0,1.0
VL16ANEW,0.0,1.0
VL16HPIZ,0.78,0.74
VL16YBPB,0.67,0.86
VL16TBOT,0.78,0.74
VL16YRMG,0.89,0.48
VL16QQRF,0.0,1.0
VL16TNAT,1.0,0.48
VL16METN,1.22,0.94
VL16QWNJ,0.67,0.77
VL16UEIM,1.22,0.86
VL16UKLT,0.67,0.86
VL16JAIY,0.0,1.0
VL16LZYH,0.75,0.87
VL16QARN,0.67,0.94
VL16UAKR,0.0,1.0
VL16VKPN,0.0,1.0
VL16ZBRD,1.0,0.57
VL16EPOB,0.0,1.0
VL16XZPQ,1.0,0.91
VL16SSIW,0.0,1.0
VL16CPJW,1.0,0.53
VL16HAEE,0.78,0.83
VL16RMTY,0.75,0.57
VL16DTCZ,0.67,0.83
VL17QELG,1.0,0.38
VL17IWSE,0.75,0.75
VL17PMCK,1.0,0.64
VL17ZLQJ,1.0,0.64
VL17ABZL,0.75,0.75
VL17XZRP,0.75,0.79
VL17UOZU,1.0,0.42
VL17XVUM,0.0,1.0
VL17OTSU,0.75,0.79
VL17XVJZ,0.75,0.75
VL17CDXX,0.75,0.79
VL17OZUY,1.0,0.75
VL17XQJR,0.75,0.75
VL17BGMW,2.25,0.75
VL17GJTM,0.75,0.75
VL17RIGQ,0.0,1.0
VL17SZUN,0.0,1.0
VL17JFAX,2.0,0.75
VL17RCAY,1.25,0.75
VL17UEPG,1.0,0.75
VL17HVJK,0.75,0.75
VL17VEKY,1.25,0.75
VL17LFDM,1.25,0.75
VL17KDLN,0.75,0.75
VL17GHNZ,1.0,0.75
VL17PKBF,0.75,0.79
VL17ZMAS,1.0,0.75
VL17WFTW,0.75,0.75
VL17XINU,0.0,1.0
VL17DTYW,1.0,0.75
VL17CDDD,0.0,1.0
VL17SVNC,0.75,0.79
VL17OOVJ,1.0,0.75
VL17DZAT,0.75,0.75
VL17WTAO,0.75,0.79
VL17FVFW,0.75,0.75
VL17RKDP,0.75,0.79
BJ15WXTY,0.0,1.0
BJ15PZGR,1.0,0.53
BJ15CLYS,0.67,0.55
BJ15JIXK,1.75,0.35
BJ15FZNI,0.67,0.51
BJ15ZSST,0.89,0.53
BJ15KJCI,0.92,0.88
BJ15VCTJ,1.25,0.71
BJ15FQDR,0.0,1.0
BJ15LSSC,0.6,0.88
BJ15YNOK,0.94,0.73
BJ15CODK,0.67,0.44
BJ15MATK,0.78,0.43
BJ15EYOR,0.67,0.87
BJ15FWTB,0.0,1.0
BJ15VRAB,0.67,0.66
BJ15XLFJ,0.63,0.71
BJ15TDSH,0.0,1.0
BJ15MJMA,1.0,0.35
BJ15IGFE,0.68,0.88
BJ15GLOG,0.89,0.53
BJ15AJMX,0.67,0.82
BJ15EVRH,0.69,0.57
BJ15RWNG,0.69,0.71
BJ15QFWC,0.75,0.66
BJ15CXKG,0.6,0.96
BJ15BTJW,0.0,1.0
BJ15UHUB,1.0,0.6
BJ16GEUE,0.75,0.59
BJ16MDCH,1.0,0.26
BJ16QXSU,0.0,1.0
BJ16TWCK,0.67,0.85
BJ16RYXO,0.75,0.53
BJ16VVQY,0.67,0.85
BJ16GYRO,0.75,0.59
BJ16VYAP,0.75,0.67
BJ16QFZJ,0.75,0.59
BJ16BRIY,0.67,0.85
BJ16QOXK,0.0,1.0
BJ16WWKQ,0.75,0.59
BJ16UQEJ,1.0,0.53
BJ16WWYV,0.67,0.76
BJ16WHJG,0.78,0.85
BJ16XYCN,0.0,1.0
BJ16RUFH,0.75,0.74
BJ16BLSG,0.75,0.53
BJ16YFMZ,0.75,0.53
BJ16USTN,0.0,1.0
BJ16BKAA,0.75,0.53
BJ16OHNV,1.0,0.53
BJ16IESQ,0.75,0.75
BJ16VXWD,0.67,0.82
BJ16LBQH,0.67,0.88
BJ16AUIE,0.67,0.82
BJ17YORD,0.0,1.0
BJ17KBRI,1.0,0.75
BJ17PNWN,1.0,0.75
BJ17WLQT,1.0,0.75
BJ17UVEF,1.0,0.75
BJ17QGDE,1.0,0.75
BJ17TNWD,1.0,0.75
BJ17YJAD,1.0,0.75
BJ17JOEN,1.0,0.75
BJ17WCHB,1.0,0.75
BJ17UKWL,1.0,0.75
BJ17IJDU,1.0,0.75
BJ17CMYR,3.0,0.75
BJ17BUHV,1.0,0.75
BJ17PDAI,1.0,0.75
BJ17WFFD,1.0,0.75
BJ17OGQQ,0.0,1.0
BJ17XAPN,1.0,0.75
BJ17FWPW,1.0,0.75
BJ17VPVN,1.0,0.75
BJ17OODE,1.0,0.75
BJ17CROX,1.0,0.75
BJ17QEAS,1.0,0.75
BJ17MWAV,1.0,0.75
BJ17VGXL,0.0,1.0
BJ17MGEM,1.0,0.75
BJ17SAXY,1.0,0.75
BJ17KBWC,1.0,0.75
BJ17DDHG,1.0,0.75
BJ17WQPQ,1.0,0.75
BJ17NBRR,1.0,0.75
BJ17RVOH,1.0,0.75
BJ17QNKQ,1.0,0.75
BJ17VTML,1.0,0.75
BJ17QBPM,0.0,1.0
LF15PVTT,0.67,0.86
LF15JHHM,0.58,0.86
LF15PWIT,0.63,0.84
LF15CJCD,1.25,0.29
LF15FEVD,0.6,0.73
LF15TQLL,0.78,0.52
LF15HPQA,0.61,0.67
LF15PSSQ,0.69,0.86
LF15ZIHE,0.64,0.71
LF15WKQG,0.94,0.82
LF15TXIQ,0.64,0.73
LF15TTJX,0.63,0.84
LF15QUQZ,0.68,0.71
LF15NCKF,0.0,1.0
LF15ONBU,0.75,0.6
LF15DGJV,0.0,1.0
LF15JRAZ,0.75,0.29
LF15PKTP,1.11,0.43
LF15IDYY,0.6,0.71
LF15UPJQ,0.0,1.0
LF15EZEQ,0.75,0.57
LF15GEKL,0.78,0.43
LF15KUNC,0.58,0.86
LF15WDFA,0.63,0.84
LF15TFCN,0.0,1.0
LF15EZAI,0.68,0.73
LF15UHDW,0.58,0.87
LF15XQDF,0.78,0.43
LF15MDKY,0.75,0.62
LF15KZJO,0.57,1.0
LF15FHEB,0.6,0.71
LF15BGVV,0.64,0.67
LF15QUMO,0.6,0.73
LF15ZXQA,0.68,0.71
LF15NKVR,0.68,1.0
LF15DRTF,1.0,1.0
LF15GROY,1.11,0.48
LF15XUNR,1.0,0.8
LF15QRTJ,0.0,1.0
LF15QSHS,0.88,0.63
LF15MGNQ,0.75,0.29
LF15NMGK,1.0,0.43
LF15HMBD,0.6,0.71
LF15NYGZ,0.58,0.87
LF15CIPC,0.0,1.0
LF15PCDW,0.58,0.86
LF15AOYT,0.78,0.54
LF15TPZB,0.63,0.57
LF15VQIH,0.84,0.71
LF15XRER,0.58,0.86
LF15YLJJ,0.6,0.58
LF15KURV,0.96,0.71
LF15YXXY,0.67,0.39
LF15WVVU,0.58,0.98
LF15KQAI,0.92,0.87
LF15NLPO,0.57,1.0
LF15XWPP,0.58,0.86
LF15EFRH,0.75,0.72
LF15VBAI,0.6,0.71
LF15OWOW,0.58,0.87
LF15KLFF,0.0,1.0
LF15ZCRL,1.0,0.78
LF15YCGL,0.58,0.86
LF15VSIH,0.6,0.92
LF15TYIP,0.92,0.76
LF15DSGL,0.75,0.78
LF15XXKV,0.75,0.83
LF15HZII,0.75,0.65
LF15LFOA,0.67,0.84
LF15RMZI,1.0,0.78
LF15YGVK,1.0,0.91
LF15LPZL,1.44,0.6
LF15NQEZ,0.75,0.78
LF15VRVV,0.75,0.78
LF15OQNN,0.75,0.78
LF15CCQA,0.75,0.78
LF15CGYG,0.68,0.87
LF15LNPN,0.68,0.75
LF15BJXB,0.72,0.92
LF15ERYP,0.0,1.0
LF15BMZS,0.6,0.71
LF15QNIZ,0.0,1.0
LF15BQSH,0.58,0.68
LF15UTIL,1.25,0.3
LF15FAEB,0.57,0.87
LF15IJTB,0.75,0.57
LF15JWZT,0.67,0.6
LF15KZEA,0.83,0.9
LF15MLQT,0.0,1.0
LF15KUTU,0.58,0.86
LF15PXGV,1.4,0.71
LF15BLZD,0.97,0.78
LF15CONX,1.0,0.14
LF15LGXI,0.8,0.71
LF15IHGT,1.06,0.6
LF15IWBB,0.0,1.0
LF15HFYG,0.69,0.87
LF15NATV,1.56,0.53
LF15DFXI,0.75,0.78
LF15SCXO,0.86,1.0
LF15IXXR,1.28,0.86
LF15APLJ,0.75,0.67
LF15HCBH,0.75,0.63
LF16QUFF,1.0,0.75
LF16OMEJ,0.0,1.0
LF16GLWW,1.0,1.0
LF16NPCN,1.0,0.75
LF16KXIK,2.0,0.75
LF16LPIJ,0.0,0.0
LF16CTVI,0.0,1.0
LF16ZEGW,0.0,1.0
LF16FBWR,1.0,0.75
LF16SLJR,0.75,0.86
LF16XFMK,1.0,0.75
LF16JKDC,0.75,1.0
LF16WUTX,1.0,0.75
LF16ZABV,1.0,0.75
LF16LFQJ,1.25,0.86
LF16UAAW,1.0,0.75
LF16QBAJ,1.0,0.75
LF16TFVL,0.0,0.0
LF16DIXP,1.0,0.75
LF16AIST,0.0,0.0
LF16FQZQ,0.0,0.0
LF16DOQA,0.75,0.86
LF16AFUF,1.0,0.75
LF16SEAH,0.75,0.86
LF16JTMY,1.0,0.75
LF16IBPG,0.0,1.0
LF16ROSN,0.0,0.0
LF16DRXI,4.0,0.75
LF16PIIU,2.0,0.41
LF16EZOK,0.75,0.86
LF16MWGX,1.0,0.75
LF16AHYO,0.0,0.0
LF16GPHG,0.0,1.0
LF16GUDL,0.75,0.86
LF16FLII,1.0,0.75
LF16YROK,0.0,1.0
LF16DXXC,0.75,0.86
LF16KYGU,1.0,0.75
LF16YLEB,2.0,0.75
LF16QASW,1.0,0.75
LF16SOBK,1.0,0.75
LF16UXMJ,1.25,0.72
LF16CTYK,2.0,0.75
LF16RZAF,1.25,0.86
LF16OSNV,1.0,0.75
LF16DZXS,1.0,0.75
LF16RRXU,1.0,0.75
LF16BWUH,1.0,0.75
LF16EJTX,1.0,0.75
LF16CVSU,1.0,0.75
LF16JEPQ,1.0,0.86
LF16ALRQ,1.0,0.43
LF16UKUG,1.0,0.75
LF16JIDX,0.0,1.0
LF16JIKM,0.0,1.0
LF16NXWF,1.0,0.75
LF16VWCR,1.0,0.75
LF16DJLX,2.0,0.43
LF16IXJT,1.0,0.75
LF16HSAN,1.75,0.86
LF16CYBS,0.0,1.0
LF16YYWH,1.0,0.75
LF16CZIN,1.0,1.0
LF16IOLK,0.0,1.0
LF16VSDU,0.0,1.0
LF16LPQO,1.0,0.75
LF16DYRO,1.0,0.75
LF16VEST,0.75,0.86
LF16XMBT,0.0,1.0
LF16WYSE,0.0,0.0
LF16MGLV,1.0,0.75
LF16INZS,4.0,0.75
LF16OJTI,1.0,0.75
LF16FGMN,0.0,1.0
LF16PBEX,0.0,1.0
LF16MALE,1.0,0.43
LF16IKTQ,1.0,0.43
LF16LEZM,1.0,0.75
LF16NBEG,1.0,0.75
LF16QAUR,1.0,0.75
LF16VESI,0.0,0.0
LF16HLVL,1.0,0.75
LF16KIXK,1.0,0.75
LF16SHNM,1.0,0.75
LF16URXW,0.0,1.0
LF16VYOG,2.0,0.75
LF16DLMS,0.0,1.0
LF16JLHP,1.0,0.75
LF16ROWT,3.0,0.75
LF16IXFG,0.75,0.86
LF16DCXP,1.0,0.75
LF16DHLM,3.0,0.75
LF16XVDQ,1.0,0.82
LF16XEHY,1.0,0.75
LF16ZFXF,0.0,1.0
LF16IXJK,0.0,1.0
LF16OOUZ,1.0,0.75
LF16UFAV,0.0,0.0
LF16CYMN,1.0,0.75
LF16KDZQ,0.0,0.0
LF17UIFA,1.0,0.41
LF17DNAP,1.0,0.41
LF17YQQB,1.0,0.41
LF17ANMT,2.25,0.82
LF17GHTQ,1.0,0.9
LF17YDWL,2.0,0.82
LF17OFTU,1.0,0.41
LF17NXMB,1.0,0.41
LF17KPLK,1.0,0.41
LF17BNHA,2.0,0.41
LF17QGIJ,1.0,0.41
LF17ZXIB,1.0,0.82
LF17FKKV,1.0,0.41
LF17WQJP,1.0,0.41
LF17PEAE,1.0,0.14
LF17BVZR,1.25,0.82
LF17HMUR,1.0,0.14
LF17TTXX,1.0,0.41
LF17ZXWX,2.0,0.41
LF17USYJ,1.0,0.41
LF17VVPA,1.0,0.41
LF17GOEJ,1.0,0.41
LF17CGDP,1.0,0.41
LF17MLVA,1.0,0.41
LF17ULKZ,1.0,0.41
LF17XXLT,1.0,0.41
LF17SYMC,1.0,0.14
LF17GKTJ,1.0,0.41
LF17ROPE,2.0,0.82
LF17RXZE,0.0,1.0
LF17XBKY,1.5,0.82
LF17CGAF,0.75,0.82
LF17VOWB,1.0,0.41
LF17ZPXH,0.0,1.0
LF17DQHQ,1.25,0.82
LF17ZVTM,2.0,0.41
LF17PYAX,1.0,0.41
LF17MJYA,0.0,1.0
LF17NWXQ,1.0,0.41
LF17JNXC,1.0,0.41
LF17DSOX,0.75,0.82
LF17AOVW,1.0,0.41
LF17ELSS,0.75,0.82
LF17ZZGA,1.0,0.41
LF17MJYX,1.0,0.41
LF17VHZJ,2.0,0.41
LF17DLRS,0.0,1.0
LF17ZJHF,1.75,0.82
LF17EWST,1.0,0.41
LF17ZNIL,1.0,0.41
LF17SYOR,1.0,0.41
LF17FKEA,0.0,1.0
LF17FIFW,0.0,1.0
LF17CNRJ,1.0,0.41
LF17CJDU,1.0,0.41
LF17DPLU,1.0,0.41
LF17ZXDU,1.0,0.41
LF17OEML,1.0,0.39
LF17GNYQ,1.0,0.82
LF17OAFR,0.0,1.0
LF17PVYN,1.0,0.41
LF17SYNM,0.0,1.0
LF17KSTU,2.0,0.82
LF17EDQU,0.75,0.82
LF17YYCI,1.0,0.41
LF17JQKR,1.0,0.41
LF17VBSH,1.0,0.41
LF17KWAT,1.0,0.41
LF17QEXE,1.0,0.41
LF17WAKA,1.0,0.41
LF17CHIG,1.0,0.41
LF17KABA,1.0,0.39
LF17WJGT,1.0,0.41
LF17YXDF,1.75,0.82
LF17QBXQ,1.0,0.41
LF17DEUP,2.5,0.82
LF17QYCV,1.0,0.41
LF17KULP,1.0,0.41
LF17WPET,1.0,0.41
