Student Roll Number, Preference with zero capacity
KJ15TAMW,XMKZHN$outside
KJ15TAMW,SFHHOS$outside
KJ15STAY,SFKJIH$outside
KJ15STAY,SFWTCL$outside
KJ15STAY,NMPQAJ$outside
KJ15EWBK,NMPQAJ$outside
KJ15AXCE,NMPQAJ$outside
KJ15KTLM,NMPQAJ$outside
KJ15JGKH,NMPQAJ$outside
KJ15HVRB,NMWUNK$outside
KJ15HVRB,NMPQAJ$outside
KJ15LMVB,FOXZDS$outside
KJ15NYAL,FOIXVA$outside
KJ15HVIG,XMHZDH$outside
KJ15HVIG,SFGHQR$outside
KJ15HVIG,SFQBNI$outside
KJ15EWGA,NMPQAJ$outside
KJ15EWGA,NMBUCE$outside
KJ15VQWG,FOXZDS$outside
KJ15MJFL,FOXZDS$outside
KJ15HPGD,EIJCRU$outside
KJ15ZFES,SFQBNI$outside
KJ15ZFES,NMPQAJ$outside
KJ15NOFI,TCAYCF$outside
KJ15MTXM,TCAYCF$outside
KJ15YMKL,SFQBNI$outside
KJ15EHER,SFQBNI$outside
KJ15EHER,NMPQAJ$outside
KJ15JAHX,SFQBNI$outside
KJ15DHYY,SFQBNI$outside
KJ15TWSB,TCAYCF$outside
KJ15TWSB,NMBUCE$outside
KJ15HWWU,TCAYCF$outside
KJ16UYMS,NMWUNK$outside
KJ16HCTZ,NMWUNK$outside
KJ16BZRZ,NMWUNK$outside
KJ16BXNB,FORUPH$outside
KJ16KTMR,NMWUNK$outside
KJ16XREN,FORUPH$outside
KJ17WXVA,SFONDZ$outside
KJ17WXVA,SFHERQ$outside
KJ17HNZS,SFQBNI$outside
VL15JECT,XMHZDH$outside
VL15JECT,PGYQUV$outside
VL15JECT,XMKLXA$outside
VL15BCUB,PGYQUV$outside
VL15IVWR,PGYQUV$outside
VL15YHXT,TCAYCF$outside
VL15UTDJ,PGYQUV$outside
VL15CCZB,PGYQUV$outside
VL15CCZB,XMHZDH$outside
VL15TXSW,PGXGAO$outside
VL15CUKP,XMKZHN$outside
VL15DMGX,PGYQUV$outside
VL15JZRL,PGXGAO$outside
VL15FFGZ,PGYQUV$outside
VL15RKZC,PGYQUV$outside
VL15BIPK,PGYQUV$outside
VL15TEQK,PGYQUV$outside
VL15FIFG,PGYQUV$outside
VL15SUQY,PGHMYM$outside
VL15NOKP,PGYQUV$outside
VL16RFLH,TCAYCF$outside
VL16NSSA,TCAYCF$outside
VL16ISTA,TCAYCF$outside
BJ15FZNI,PGYQUV$outside
BJ15VCTJ,XMHZDH$outside
BJ15YNOK,PGHMYM$outside
BJ15MATK,XMKZHN$outside
BJ16GYRO,SFQBNI$outside
BJ16QFZJ,SFQBNI$outside
BJ16BRIY,PGHMYM$outside
BJ16YFMZ,MUFQPM$outside
LF15PVTT,QQELSA$inside
LF15PVTT,LFBXBB$outside
LF15JHHM,QQELSA$inside
LF15JHHM,LFBXBB$outside
LF15PWIT,LFBXBB$outside
LF15PWIT,QQELSA$inside
LF15FEVD,LFYNDN$inside
LF15TQLL,SFGHQR$outside
LF15TQLL,LFIDWQ$outside
LF15HPQA,LFBXBB$outside
LF15PSSQ,QQELSA$inside
LF15ZIHE,LFFUAL$outside
LF15TTJX,LFBXBB$outside
LF15TTJX,QQELSA$inside
LF15QUQZ,LFBXBB$outside
LF15QUQZ,LFFUAL$outside
LF15JRAZ,QQELSA$inside
LF15IDYY,LFBXBB$outside
LF15KUNC,LFBXBB$outside
LF15WDFA,QQELSA$inside
LF15WDFA,LFBXBB$outside
LF15EZAI,LFYNDN$inside
LF15XQDF,QQELSA$inside
LF15KZJO,LFERTJ$inside
LF15KZJO,QQELSA$inside
LF15FHEB,LFERTJ$inside
LF15ZXQA,QQELSA$inside
LF15NKVR,SFQBNI$outside
LF15DRTF,QQELSA$inside
LF15QSHS,QQELSA$inside
LF15HMBD,LFBXBB$outside
LF15PCDW,LFBXBB$outside
LF15AOYT,LFKAZX$outside
LF15AOYT,QQELSA$inside
LF15VQIH,SFQBNI$outside
LF15YLJJ,LFYNDN$inside
LF15KURV,SFQBNI$outside
LF15WVVU,LFBXBB$outside
LF15KQAI,LFBXBB$outside
LF15KQAI,LFYNDN$inside
LF15NLPO,LFBXBB$outside
LF15XWPP,LFBXBB$outside
LF15VBAI,LFBXBB$outside
LF15ZCRL,LFBXBB$outside
LF15YCGL,QQELSA$inside
LF15YCGL,LFBXBB$outside
LF15VSIH,LFFUAL$outside
LF15VSIH,QQELSA$inside
LF15RMZI,LFBXBB$outside
LF15YGVK,QQELSA$inside
LF15NQEZ,LFBXBB$outside
LF15VRVV,LFBXBB$outside
LF15OQNN,XMHZDH$outside
LF15CCQA,QQELSA$inside
LF15LNPN,LFERTJ$inside
LF15BMZS,LFPJTP$outside
LF15IJTB,LFFUAL$outside
LF15KZEA,SFGHQR$outside
LF15KZEA,QQELSA$inside
LF15PXGV,XMHZDH$outside
LF15PXGV,SFGHQR$outside
LF15IHGT,XMHZDH$outside
LF15HFYG,QQELSA$inside
LF15NATV,XMHZDH$outside
LF15NATV,XMKLXA$outside
LF15NATV,TCAYCF$outside
LF15DFXI,QQELSA$inside
LF15SCXO,LFFUAL$outside
LF15SCXO,LFBXBB$outside
LF15IXXR,LFBXBB$outside
LF15IXXR,LFFUAL$outside
LF15IXXR,LFPJTP$outside
LF15APLJ,LFBXBB$outside
LF16GLWW,SFQBNI$outside
LF16KXIK,SFQBNI$outside
LF16AHYO,SFQBNI$outside
LF16YLEB,SFQBNI$outside
LF16CTYK,SFQBNI$outside
LF16WYSE,TCAYCF$outside
LF16VYOG,SFQBNI$outside
LF16KDZQ,TCAYCF$outside
LF17TTXX,SFQBNI$outside
LF17ZXWX,SFQBNI$outside
LF17XXLT,SFQBNI$outside
LF17ZVTM,SFQBNI$outside
LF17DSOX,QQELSA$inside
LF17ELSS,QQELSA$inside
LF17VHZJ,XMJFCB$outside
DS15KUGD,DSZVWH$outside
DS15CRSM,DSZVWH$outside
DS15FDWB,DSZVWH$outside
DS15MDUU,DSZVWH$outside
DS15JLLE,FOCRJC$outside
DS15USRT,DSZVWH$outside
DS15ULAL,DSZVWH$outside
DS15HDMG,DSZVWH$outside
DS15QNUG,DSZVWH$outside
DS15UBJE,DSZVWH$outside
DS15WBOU,DSKUYZ$outside
DS15WBOU,DSZVWH$outside
DS15UTKG,SFQBNI$outside
DS15NWBJ,DSZVWH$outside
DS15XQSE,SFQBNI$outside
DS15XQSE,DSZVWH$outside
DS15FTNZ,DSZVWH$outside
DS15SORA,XMHZDH$outside
DS15SORA,DSZVWH$outside
DS15XATG,DSZVWH$outside
DS15OLSF,XMKZHN$outside
DS15YFYH,DSZVWH$outside
DS15YBJA,DSZVWH$outside
DS15JMHC,XMHZDH$outside
DS15JMHC,SFGHQR$outside
DS15JMHC,SFQBNI$outside
DS15KQEH,DSZVWH$outside
DS15XDQG,DSZVWH$outside
DS15DDCI,DSZVWH$outside
DS15XCTJ,DSZVWH$outside
DS15WSMW,DSZVWH$outside
DS15ADMY,DSZVWH$outside
DS15MDAA,DSZVWH$outside
DS15PWOQ,DSZVWH$outside
DS15QOIL,XMHZDH$outside
DS15QOIL,DSZVWH$outside
DS15YQNS,DSZVWH$outside
DS15UZMA,DSZVWH$outside
DS15RTRF,DSZVWH$outside
DS15SJKF,DSZVWH$outside
DS15VLGN,XMHZDH$outside
DS15VLGN,DSZVWH$outside
DS15WAVF,DSZVWH$outside
DS15STNH,DSZVWH$outside
DS15SFIQ,DSZVWH$outside
DS15ESHW,DSZVWH$outside
DS15XTRP,FOXZDS$outside
DS15PYZH,DSZVWH$outside
DS16FLXP,SFQBNI$outside
DS16DMIP,FORUPH$outside
DS16DMIP,FODBYQ$outside
DS16UXMK,TCAYCF$outside
DS16XAIC,SFQBNI$outside
DS16DMLK,SFQBNI$outside
DS16WLCS,SFQBNI$outside
DS16XSWN,SFQBNI$outside
DS16PZLQ,SFQBNI$outside
DS17EAOW,SFQBNI$outside
XM15XNWO,XMKLXA$outside
XM15OHDA,XMHZDH$outside
XM15OHDA,XMCDUN$outside
XM15QTKH,XMHZDH$outside
XM15ANFT,XMCDUN$outside
XM15XDXG,XMCDUN$outside
XM15NOAE,XMHZDH$outside
XM15NOAE,XMCDUN$outside
XM15NJFN,XMHZDH$outside
XM15NJFN,XMCDUN$outside
XM15XJVJ,XMCDUN$outside
XM15XJVJ,XMHZDH$outside
XM15SEOP,XMHZDH$outside
XM15SEOP,XMCDUN$outside
XM15LWXU,XMCDUN$outside
XM15AQTS,XMHZDH$outside
XM15AQTS,XMCDUN$outside
XM15KTKS,XMPBPG$outside
XM15KTKS,XMHZDH$outside
XM15JKSI,XMHZDH$outside
XM15ATBG,XMCDUN$outside
XM15PXDP,XMHZDH$outside
XM15PXDP,XMCDUN$outside
XM15TCCQ,XMCDUN$outside
XM15NXQQ,XMCDUN$outside
XM15UGVL,XMCDUN$outside
XM15OKAX,XMKLXA$outside
XM15OKAX,XMHZDH$outside
XM15OKAX,XMCDUN$outside
XM15IDTI,XMCDUN$outside
XM15IDTI,XMHZDH$outside
XM15MWXU,XMCDUN$outside
XM15ZSHA,XMPBPG$outside
XM15FYYQ,XMCDUN$outside
XM15XOZW,XMCDUN$outside
XM15MNIF,XMHZDH$outside
XM15YRGO,XMHZDH$outside
XM15GIAD,XMPBPG$outside
XM15NZGN,XMCDUN$outside
XM15ISYH,XMHZDH$outside
XM15ISYH,XMCDUN$outside
XM15NALJ,XMHZDH$outside
XM15ZPPC,XMCDUN$outside
XM15RBZJ,XMHZDH$outside
XM15SCXT,XMHZDH$outside
XM15YGSX,XMCDUN$outside
XM15GWNX,XMHZDH$outside
XM15LWIU,XMHZDH$outside
XM15MMPX,XMCDUN$outside
XM15GSGI,XMPBPG$outside
XM15EBTZ,XMKLXA$outside
XM15EBTZ,SFXJNT$outside
XM15KFLO,XMHZDH$outside
XM15FVJV,XMKLXA$outside
XM15VIAW,XMHZDH$outside
XM15VIAW,XMKLXA$outside
XM15SIUI,XMPBPG$outside
XM16QQWU,XMHZDH$outside
XM16XFHE,XMHZDH$outside
XM16GNSZ,XMHZDH$outside
XM16INPN,XMHZDH$outside
XM16AEWE,XMHZDH$outside
XM16TJNZ,XMHZDH$outside
XM16QGOM,XMHZDH$outside
XM16KZVQ,XMHZDH$outside
XM16NXBO,XMHZDH$outside
XM16BBLL,XMHZDH$outside
XM16YQBI,XMHZDH$outside
XM16OWKQ,XMHZDH$outside
XM16RNBA,XMHZDH$outside
XM16RTDQ,XMHZDH$outside
XM16DAUY,XMHZDH$outside
XM16XJRE,XMHZDH$outside
XM16TXLG,XMHZDH$outside
XM16CYFW,XMHZDH$outside
XM16VDRI,XMHZDH$outside
XM16UVMS,XMHZDH$outside
XM16XNKU,XMHZDH$outside
XM16VKLV,XMHZDH$outside
XM16MNNM,XMHZDH$outside
XM16KBSU,XMHZDH$outside
XM16RICN,XMHZDH$outside
XM16OWKJ,XMHZDH$outside
XM16JGAK,XMHZDH$outside
XM16HFXZ,XMHZDH$outside
XM17YQEG,SFONDZ$outside
UF15WDSW,SFGHQR$outside
UF15CKRF,SFQBNI$outside
UF15OEEG,SFGHQR$outside
UF15UIXU,SFQBNI$outside
UF15GSXR,SFQBNI$outside
UF15DCFR,SFQBNI$outside
UF15GHSM,SFGHQR$outside
UF15WJWE,SFQBNI$outside
UF15CDXM,SFQBNI$outside
UF15VBYU,SFQBNI$outside
UF15USLW,SFQBNI$outside
UF15RTAJ,TCPMBP$inside
UF15RTAJ,SFQBNI$outside
UF15SKFX,FOUAAY$outside
UF15PDZP,SFQBNI$outside
UF15XUVZ,SFQBNI$outside
UF16WKIH,TCAYCF$outside
UF16FTNM,FODBYQ$outside
UF16SKKM,SFQBNI$outside
UF16YEXU,FODBYQ$outside
UF16HXDU,SFQBNI$outside
UF16HXDU,UFTNJM$outside
UF16TWEZ,TCAYCF$outside
UF16HGGB,SFQBNI$outside
UF16TLNK,TCAYCF$outside
UF16SDXE,TCAYCF$outside
UF16JGQM,FORUPH$outside
UF16KNJO,TCAYCF$outside
UF16AEXM,TCAYCF$outside
UF16LLSV,SFQBNI$outside
UF16TELD,TCAYCF$outside
SF15DDHI,SFHERQ$outside
SF15DDHI,SFVHKO$inside
SF15DDHI,SFXEQR$outside
SF15COUQ,SFXJNT$outside
SF15COUQ,SFHERQ$outside
SF15COUQ,SFQBNI$outside
SF15COUQ,SFXEQR$outside
SF15SBDX,SFHZQC$outside
SF15XVVB,SFHERQ$outside
SF15EBLD,SFHERQ$outside
SF15EBLD,SFXEQR$outside
SF15EBLD,SFVHKO$inside
SF15PCUI,SFHERQ$outside
SF15PCUI,SFNWEV$outside
SF15PCUI,SFXEQR$outside
SF15MASD,SFHERQ$outside
SF15MASD,SFWTCL$outside
SF15GFJB,SFHERQ$outside
SF15GFJB,SFQBNI$outside
SF15AUHI,SFHERQ$outside
SF15AUHI,SFWTCL$outside
SF15EHEL,SFHERQ$outside
SF15EHEL,SFXJNT$outside
SF15EHEL,SFXEQR$outside
SF15EHEL,SFVHKO$inside
SF15TDQH,SFXJNT$outside
SF15TDQH,SFHERQ$outside
SF15TDQH,SFXEQR$outside
SF15TDQH,SFQBNI$outside
SF15TDQH,OZSOMQ$outside
SF15ORKE,SFWXAU$outside
SF15ORKE,SFXEQR$outside
SF15ORKE,XMHZDH$outside
SF15ORKE,SFHERQ$outside
SF15CUCW,SFWXAU$outside
SF15CUCW,SFHERQ$outside
SF15CUCW,SFWTCL$outside
SF15TYYH,SFWXAU$outside
SF15TYYH,SFHERQ$outside
SF15TYYH,SFXEQR$outside
SF15WUXF,SFHERQ$outside
SF15WUXF,SFGHQR$outside
SF15WUXF,SFXEQR$outside
SF15SFVX,SFHERQ$outside
SF15SFVX,SFXEQR$outside
SF15SFVX,SFXJNT$outside
SF15TTPF,SFXJNT$outside
SF15TTPF,TCAYCF$outside
SF15DGAW,SFXEQR$outside
SF15DGAW,SFHERQ$outside
SF15YGOX,SFHERQ$outside
SF15YGOX,SFWTCL$outside
SF15VNII,SFWXAU$outside
SF15VNII,SFXEQR$outside
SF15VNII,SFHERQ$outside
SF15CVFX,SFVHKO$inside
SF15CVFX,SFHERQ$outside
SF15CVFX,SFONDZ$outside
SF15CVFX,SFWTCL$outside
SF15ULQP,TCAYCF$outside
SF15YOXP,SFGHQR$outside
SF15YOXP,XMHZDH$outside
SF15YOXP,SFABDD$outside
SF15VLCK,SFHERQ$outside
SF15VLCK,SFXJNT$outside
SF15VLCK,SFXEQR$outside
SF15VLCK,SFWTCL$outside
SF15ECYN,SFONDZ$outside
SF15ECYN,SFWTCL$outside
SF15ECYN,SFHERQ$outside
SF15ECYN,SFWXAU$outside
SF15KWDE,SFHERQ$outside
SF15KWDE,SFXEQR$outside
SF15XFUH,SFWXAU$outside
SF15XFUH,SFQBNI$outside
SF15XFUH,SFHERQ$outside
SF15XZTL,SFHERQ$outside
SF15XZTL,SFXJNT$outside
SF15MXCJ,XMHZDH$outside
SF15MXCJ,SFHERQ$outside
SF15VPRK,SFHPQZ$outside
SF15VPRK,SFWXAU$outside
SF15TOSL,SFHERQ$outside
SF15TOSL,SFWTCL$outside
SF15TOSL,SFWXAU$outside
SF15GQMK,SFHZQC$outside
SF15GQMK,SFXEQR$outside
SF15GQMK,SFGHQR$outside
SF15YUMM,SFWXAU$outside
SF15YUMM,SFHERQ$outside
SF15YUMM,SFWTCL$outside
SF15YUMM,SFXEQR$outside
SF15DJVT,SFHERQ$outside
SF15DJVT,SFXJNT$outside
SF15BOUH,SFABDD$outside
SF15CNHQ,SFHERQ$outside
SF15CNHQ,SFXEQR$outside
SF15CNHQ,SFVHKO$inside
SF15QFUZ,SFHERQ$outside
SF15QFUZ,SFWTCL$outside
SF15QFUZ,SFVHKO$inside
SF15EYGK,SFWXAU$outside
SF15EYGK,SFHERQ$outside
SF15EYGK,SFWTCL$outside
SF15EYGK,SFXEQR$outside
SF15UYZI,SFWTCL$outside
SF15FBJS,SFXKJX$outside
SF15FBJS,SFRZPA$outside
SF15JFGL,SFXKJX$outside
SF15JFGL,SFFVDS$outside
SF15JFGL,SFRZPA$outside
SF15JSGQ,SFHERQ$outside
SF15JSGQ,SFXEQR$outside
SF15TCEZ,SFHERQ$outside
SF15TCEZ,SFWTCL$outside
SF15TCEZ,SFDPPJ$outside
SF15TFFF,SFHERQ$outside
SF15TFFF,SFWXAU$outside
SF15FDPC,SFHPQZ$outside
SF15FDPC,SFWXAU$outside
SF15RYAH,SFWXAU$outside
SF15RYAH,SFHERQ$outside
SF15RYAH,SFPWTA$outside
SF15VKIK,SFABDD$outside
SF15VKIK,TCAYCF$outside
SF15VKIK,SFHZQC$outside
SF15SBFN,SFHERQ$outside
SF15SBFN,SFXJNT$outside
SF15SBFN,SFXEQR$outside
SF15MBFH,SFHERQ$outside
SF15MBFH,SFXJNT$outside
SF15MBFH,TCAYCF$outside
SF15MBFH,SFXEQR$outside
SF15YXRL,SFHERQ$outside
SF15YXRL,SFPWTA$outside
SF15SMUW,SFHHOS$outside
SF15SMUW,SFXEQR$outside
SF15SMUW,OZSOMQ$outside
SF15SMUW,SFNWEV$outside
SF15ZTCN,SFHERQ$outside
SF15ZTCN,SFXEQR$outside
SF15ZTCN,SFKJIH$outside
SF15ZTCN,SFVHKO$inside
SF15FANN,SFWXAU$outside
SF15FANN,SFHERQ$outside
SF15YWTK,SFWXAU$outside
SF15BEAD,SFGHQR$outside
SF15WPLP,SFWXAU$outside
SF15WPLP,SFHERQ$outside
SF15NYTZ,SFHERQ$outside
SF15NYTZ,SFXJNT$outside
SF15BJAF,SFVHKO$inside
SF15BJAF,SFQBNI$outside
SF15AKAP,SFWXAU$outside
SF15AKAP,SFHERQ$outside
SF15BPLL,SFHERQ$outside
SF15BPLL,SFXEQR$outside
SF15FKIV,SFHERQ$outside
SF15FKIV,SFQBNI$outside
SF15EHUB,SFHERQ$outside
SF15EHUB,XMCDUN$outside
SF15EHUB,SFWTCL$outside
SF15EHUB,SFABDD$outside
SF15CXUD,SFHERQ$outside
SF15CXUD,SFWTCL$outside
SF15CXUD,SFQBNI$outside
SF15ENJO,SFHERQ$outside
SF15ENJO,SFWTCL$outside
SF15ENJO,SFKJIH$outside
SF15ATBT,SFHERQ$outside
SF15ATBT,SFXEQR$outside
SF15ATBT,SFWTCL$outside
SF15ATBT,SFXJNT$outside
SF15TBLG,SFHERQ$outside
SF15TBLG,SFWXAU$outside
SF15JYZU,SFHERQ$outside
SF15JYZU,SFXEQR$outside
SF15JYZU,SFONDZ$outside
SF15JYZU,SFXJNT$outside
SF15OXNA,SFHZQC$outside
SF15OXNA,SFXEQR$outside
SF15OXNA,SFGHQR$outside
SF15IYBI,SFXEQR$outside
SF15IYBI,SFHERQ$outside
SF15BQOV,SFGHQR$outside
SF15BQOV,SFWXAU$outside
SF15BQOV,SFHERQ$outside
SF15MZEQ,SFFVZI$outside
SF15MZEQ,SFWTCL$outside
SF15MZEQ,SFONDZ$outside
SF15MZEQ,SFPWTA$outside
SF15MZEQ,SFDPPJ$outside
SF15VGNS,SFHERQ$outside
SF15VGNS,SFWTCL$outside
SF15VGNS,SFXEQR$outside
SF15VGNS,SFQBNI$outside
SF15VGNS,SFWXAU$outside
SF15VGNS,SFXJNT$outside
SF15PORA,SFHERQ$outside
SF15PORA,SFHZQC$outside
SF15PORA,SFXJNT$outside
SF15PORA,SFXEQR$outside
SF15NVNQ,SFHERQ$outside
SF15NVNQ,SFXJNT$outside
SF15NVNQ,SFXEQR$outside
SF15NVNQ,OZSOMQ$outside
SF15NVNQ,SFWXAU$outside
SF15XGPE,SFABDD$outside
SF15XGPE,SFKQFL$outside
SF15XGPE,SFHERQ$outside
SF15XGPE,SFHHOS$outside
SF15XGPE,SFQBNI$outside
SF15XGPE,SFNWEV$outside
SF15XGPE,SFVHKO$inside
SF15LGEY,SFHERQ$outside
SF15LGEY,SFXEQR$outside
SF15PTMX,TCAYCF$outside
SF15PTMX,SFGHQR$outside
SF15PTMX,SFHERQ$outside
SF15PTMX,SFQBNI$outside
SF15XAYN,SFQBNI$outside
SF15KLPI,TCAYCF$outside
SF15KLPI,SFQBNI$outside
SF15FEJZ,SFWXAU$outside
SF15FEJZ,SFHERQ$outside
SF15FEJZ,SFXEQR$outside
